date,open,close,high,low,volume,money
2010-06-01,986.01,973.23,994.79,948.12,135628500.0,4924176839.0
2010-06-02,967.61,997.12,997.12,952.61,107462800.0,4001206161.0
2010-06-03,1002.36,998.39,1026.7,997.77,161680500.0,6240835496.0
2010-06-04,989.68,1027.68,1027.68,986.5,150029500.0,5269440644.0
2010-06-07,1005.03,1069.47,1075.22,1001.7,265527500.0,9106094723.0
2010-06-08,1067.32,1067.15,1075.5,1050.96,197672100.0,6621994295.0
2010-06-09,1070.85,1077.82,1102.1,1069.43,254156800.0,8994866396.0
2010-06-10,1077.67,1117.48,1119.11,1076.28,219740500.0,8242731100.0
2010-06-11,1122.44,1122.2,1128.23,1118.71,222487400.0,8449039156.0
2010-06-17,1126.13,1064.84,1129.68,1064.84,176428400.0,6757409316.0
2010-06-18,1052.07,1000.28,1053.14,993.17,163065100.0,5827721367.0
2010-06-21,991.96,1040.8,1043.16,976.41,157479800.0,5604269447.0
2010-06-22,1037.04,1034.99,1057.37,1033.65,142716200.0,5067480292.0
2010-06-23,1026.87,1047.34,1056.35,1023.74,125735900.0,4608672512.0
2010-06-24,1046.76,1050.6,1059.75,1041.54,106913300.0,3904947869.0
2010-06-25,1046.21,1016.28,1046.21,999.16,123729800.0,4515664637.0
2010-06-28,1009.22,987.83,1014.41,984.22,92067300.0,3463552184.0
2010-06-29,985.57,913.31,992.23,912.54,149780000.0,5293896897.0
2010-06-30,898.29,919.31,921.81,881.36,122366100.0,3852158586.0
2010-07-01,914.39,882.19,921.21,882.19,104957300.0,3663773722.0
2010-07-02,878.95,873.12,885.34,832.62,128883400.0,4212661774.0
2010-07-05,857.37,862.27,870.86,842.73,91586400.0,2851736007.0
2010-07-06,859.26,893.72,898.45,857.8,116523200.0,3751055713.0
2010-07-07,896.53,908.55,908.55,890.34,104616300.0,3342473673.0
2010-07-08,912.0,905.51,914.3,887.03,109808800.0,3780698945.0
2010-07-09,903.5,932.15,936.53,896.89,145146000.0,4743256781.0
2010-07-12,931.53,930.17,941.07,924.06,126361800.0,4188147302.0
2010-07-13,924.95,931.08,936.64,906.3,146865700.0,4744135623.0
2010-07-14,929.75,922.36,937.93,916.07,142358600.0,4648080329.0
2010-07-15,920.05,892.56,930.55,892.56,117588100.0,3960490864.0
2010-07-16,885.07,892.3,895.06,869.02,100931200.0,3264221675.0
2010-07-19,881.66,908.05,910.18,878.07,93880300.0,2992584134.0
2010-07-20,909.54,937.02,937.54,909.54,136580900.0,4559580869.0
2010-07-21,940.1,941.25,959.04,938.16,166574600.0,5960654023.0
2010-07-22,938.22,950.21,950.21,932.02,132660300.0,4356669335.0
2010-07-23,951.84,960.59,964.74,948.13,172125100.0,5339086418.0
2010-07-26,962.76,966.15,966.73,954.76,147603600.0,4626044945.0
2010-07-27,963.54,957.97,968.04,955.73,136182100.0,4574086800.0
2010-07-28,955.19,972.53,972.53,954.52,156618300.0,5187227527.0
2010-07-29,974.29,975.36,982.01,965.61,179419300.0,5897853304.0
2010-07-30,971.66,968.43,971.66,955.92,145848700.0,5049473242.0
2010-08-02,968.45,994.23,994.23,968.45,181036400.0,6104407789.0
2010-08-03,995.2,975.64,996.26,975.64,175705900.0,5951414562.0
2010-08-04,971.41,978.01,978.01,955.93,144616500.0,4758297321.0
2010-08-05,980.27,987.35,998.1,978.33,177040000.0,6033987121.0
2010-08-06,987.97,1011.39,1011.39,985.63,189906100.0,6225316746.0
2010-08-09,1013.25,1032.34,1032.34,1013.25,209199500.0,6918898501.0
2010-08-10,1031.98,993.99,1034.33,993.99,217707200.0,7106822601.0
2010-08-11,991.28,1004.64,1006.45,990.94,161507800.0,5180189727.0
2010-08-12,994.05,991.78,1007.58,987.98,168918900.0,5316055442.0
2010-08-13,992.63,1007.21,1007.52,986.62,147179800.0,4831450139.0
2010-08-16,1007.5,1030.22,1031.05,1005.05,188040000.0,6199923329.0
2010-08-17,1031.08,1033.58,1036.82,1023.08,180077700.0,6092952254.0
2010-08-18,1033.71,1026.72,1035.61,1018.5,164350100.0,5721278603.0
2010-08-19,1026.98,1025.53,1033.25,1021.7,162453400.0,5547407031.0
2010-08-20,1021.46,995.94,1022.45,993.56,187022500.0,6597771542.0
2010-08-23,994.94,995.61,1001.18,991.52,145601400.0,5064149925.0
2010-08-24,993.58,1004.99,1007.76,987.22,136505200.0,4942148654.0
2010-08-25,1000.27,976.88,1002.33,976.55,150134300.0,5247658106.0
2010-08-26,978.6,980.63,984.87,973.0,128806700.0,4668329057.0
2010-08-27,978.51,999.46,1000.86,975.72,121624300.0,4490466099.0
2010-08-30,1002.99,1024.93,1025.15,1002.99,164541200.0,5997851095.0
2010-08-31,1020.75,1025.57,1029.8,1015.13,153470000.0,5742617797.0
2010-09-01,1025.68,995.59,1029.81,987.59,186436300.0,6805223639.0
2010-09-02,1001.6,1014.92,1018.27,996.52,163085700.0,5905102094.0
2010-09-03,1017.64,1036.7,1045.21,1017.51,228936500.0,8448724536.0
2010-09-06,1039.46,1010.76,1043.24,1007.43,181308100.0,6466212157.0
2010-09-07,1010.12,1022.62,1022.62,1007.64,128451496.0,4586031318.0
2010-09-08,1020.23,1026.33,1027.64,1016.84,140381872.0,4795945871.0
2010-09-09,1029.11,1021.83,1040.67,1019.69,195980272.0,6404983520.0
2010-09-10,1021.87,1034.94,1037.51,1016.19,181229024.0,5743872588.0
2010-09-13,1034.39,1042.48,1045.39,1033.25,166788992.0,5527660293.0
2010-09-14,1044.3,1031.22,1046.13,1028.77,159023168.0,5554204870.0
2010-09-15,1029.52,990.1,1030.02,987.05,181827392.0,6238212551.0
2010-09-16,989.49,972.6,994.95,964.53,144205824.0,4843029701.0
2010-09-17,976.07,972.23,981.73,967.55,96784056.0,3271601193.0
2010-09-20,972.45,949.2,975.26,947.41,92365872.0,3136271246.0
2010-09-21,952.07,934.46,953.83,930.25,83585856.0,2664430096.0
2010-09-27,936.21,950.67,951.84,930.87,89293664.0,2896534003.0
